ID, SN, Type, Ancillary Info
N , AQD5459, AQD, UNCW-2MHz
N , ???? , RBR_D, NCSU solo-D
N , ???? , RBR_CTD, UNCW-CTD
S , AQD2710,AQD,  UNCW-BIO-2MHz
S , ???? , RBR_D, NCSU solo-D
S , ???? , RBR_CTD, UNCW-CTD
